"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 21 02:49:28 UTC 2023","Mon Aug 21 02:49:50 UTC 2023","21752","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Mon Aug 21 03:39:49 UTC 2023","Mon Aug 21 03:39:51 UTC 2023","2457","","6. Company Account","","","","6. Review Review Page",""
"passed","Mon Aug 21 03:39:06 UTC 2023","Mon Aug 21 03:39:27 UTC 2023","20510","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"skipped","Mon Aug 21 04:57:24 UTC 2023","Mon Aug 21 04:57:24 UTC 2023","0","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Mon Aug 21 02:56:55 UTC 2023","Mon Aug 21 02:56:57 UTC 2023","2780","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Mon Aug 21 03:34:42 UTC 2023","Mon Aug 21 03:34:46 UTC 2023","3306","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Mon Aug 21 03:34:09 UTC 2023","Mon Aug 21 03:34:33 UTC 2023","23425","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Mon Aug 21 04:28:28 UTC 2023","Mon Aug 21 04:28:31 UTC 2023","3377","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"skipped","Mon Aug 21 04:16:20 UTC 2023","Mon Aug 21 04:16:20 UTC 2023","1","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Mon Aug 21 05:19:18 UTC 2023","Mon Aug 21 05:19:19 UTC 2023","986","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Mon Aug 21 02:53:16 UTC 2023","Mon Aug 21 02:53:29 UTC 2023","13233","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Mon Aug 21 04:34:41 UTC 2023","Mon Aug 21 04:34:52 UTC 2023","10848","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Mon Aug 21 02:49:54 UTC 2023","Mon Aug 21 02:50:26 UTC 2023","32080","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Mon Aug 21 03:39:27 UTC 2023","Mon Aug 21 03:39:31 UTC 2023","4614","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Mon Aug 21 05:04:18 UTC 2023","Mon Aug 21 05:04:22 UTC 2023","3725","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Mon Aug 21 05:04:36 UTC 2023","Mon Aug 21 05:04:39 UTC 2023","3409","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Mon Aug 21 02:50:35 UTC 2023","Mon Aug 21 02:50:46 UTC 2023","10767","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Mon Aug 21 03:45:27 UTC 2023","Mon Aug 21 03:45:48 UTC 2023","20399","","8. Sign Up new user","","","","1. Create a new user",""
"skipped","Mon Aug 21 04:16:20 UTC 2023","Mon Aug 21 04:16:20 UTC 2023","0","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"skipped","Mon Aug 21 04:57:24 UTC 2023","Mon Aug 21 04:57:24 UTC 2023","1","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Mon Aug 21 03:39:03 UTC 2023","Mon Aug 21 03:39:06 UTC 2023","3207","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Mon Aug 21 05:04:25 UTC 2023","Mon Aug 21 05:04:29 UTC 2023","4402","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Mon Aug 21 05:04:56 UTC 2023","Mon Aug 21 05:05:04 UTC 2023","8308","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Mon Aug 21 02:57:20 UTC 2023","Mon Aug 21 02:57:29 UTC 2023","8889","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Mon Aug 21 03:40:09 UTC 2023","Mon Aug 21 03:40:09 UTC 2023","603","","6. Company Account","","","","9. Review Final Review",""
